,Reviews
73,"
Brought for my daughter, she has wide feet and can’t wear certain sneakers, these were perfect. Wish these came in pink or purple I would definitely order more.
"
74,"
Good sneakers haven't had a pair of these since back in the '80s the old school New York price is right and I am going to buy some for my son and more for myself outstanding keep up the good work Amazon
"
75,"
these shoes look cool.  they are like walking on the ground barefoot though, like paper thin bottoms.  Also, they seem to be narrow, but after wearing a day or so at work they stretched a little.  My advice is to wear these only when you do not plan on doing any extensive walking because they have no support or comfort.  But they do look good.
"
76,"
Unisex wasn't in the description when I bought the shoes it said men's didn't want a unisex shoes
"
77,"
I LOVE these shoes. They are beautiful and got well.  They are classic,  so don't expect great arch support.
"
78,"
I was looking for a casual shoe to wear with jeans and these were perfect.
"
79,"
I ordered the blue sneakers and while they look good, they are definitely a cheaper version of the classic and they are 100% NOT suede, hence -2 stars. I have a black pair from a couple years back and those are absolutely Suede and considerably more comfortable. These are a synthetic copy of the original. I don't know why the description indicates these are suede. If you look at the pictures of the blue, the 1st picture is what you will receive. You will notice in the other pictures, the shoes ARE suede as you can see the difference in the amount of furryness (lol) which is what they would look like if they were legit suede.
"
80,
81,"
Comfortable, durable, looks great - you can literally wear it with anything. My 2nd purchase can’t really find anything to beat it.
"
82,"
Don’t think twice get it now fits as expected
"
83,"
Shoes are a little tight, but hopefully will loosen up after they have been worn for a bit. I use the shoes to wear.
"
84,"
Fits well, comfortable and great traction. All the younger folks at work complmentthis shoe, for what that's worth. I wear a 13 and it is not too tight. I would buy these again.
"
85,"
The style and look. They look awesome. Love them...they'll last too!
"
86,"
I love these Pumas! This is probably my 7 pair in 10 years. Its the only shoe I wear day in and day out. I live in NYC and walk everywhere. Unless it’s snowing or raining hard, this is the shoe I wear. Comfortable, supportive, stylish and reasonably priced.When I start to feel the insoles wearing  down, I get a pair of the Superfeet insoles and I get more mileage from the sneakers. The sneaker itself never rips or falls apart.The only reason I get a brand new pair is because sole gets some wear and tear. Totally normal for the amount of walking I do and the hell I put them through.
"
87,"
What can I say I got some Pink jeans to rock these pink shoes pink shorts pink shirt can't touch it
"
88,"
Buying a pair of sneaker.
"
89,"
I love Pumas, have for a long time. I’ve always worn size 11 (since 1990) and these are toothpick thin. I still gave it a 5 on value because if they fit they’d be great but common….
"
90,"
I finally decided to give Puma a chance. I have been wearing skate shoes for years. Then I went back and forth between New balance and adidas. I wear a size 12 in every shoe I have owned. The Puma size 12 runs so abnormally small my feet hurt after wearing them. they fit but the moment you walk in then they start to pinch in weird places. I never wore a wide shoe I'd be willing to give it a try but the Puma fit just feels awkward.
"
91,"
Perfect fit and fast delivery no complaints here
"
92,"
todo muy bien.. super confortables
"
93,"
I'm a regular size guy, who wears a regular size 10...not a wide, not a slim, but a regular size 10 like you find anywhere you look.  But these aren't those shoes.  These are made for small, thin feet, probably not unlike the person who made them.  One supposes the foot blanks used to size these shoes are modeled on thinner framed feet.  It's not that the leather won't eventually stretch (the one's I got are suede).  it's that the rubber sole is about 3/16ths of an inch too narrow, so I can feel the edges of my feet in the toe box resting on the rubber outsole walls.  I wore them for a few weeks to see if they would break in, but all that did is make things more pronounced.  As the insole molded to my foot, I could feel the outsole walls more and more.Great shoes if you have feet like skis and normally find shoes are too wide in the toe box.
"
94,"
This shoe is a classic. I've loved it since childhood, it will meet all of your expectations.
"
95,"
I bought these in my size and tried to wear them just as anyone would.  They were far too tight and after a very short period of time I had to put on a different pair of sneakers.  I placed shoe stretchers into them and attempted to stretch them out a bit.  Even after a week with the stretchers still in place the sneakers were too uncomfortable to wear.I'm very sorry I ordered these and will probably just donate them or worse throw them out.Waste of my money and won't purchase this brand again.
"
96,"
4 stars because of major price cut.  I would be pissed if I paid over $100.
"
97,"
Compre los zapatos para mi hijo, pero le quedaron muy grandes, los esta usando mi esposo. Son muy cómodos.. Compre 8.5 creyendo que equivale a 39, me equivoque
"
98,"
Clasicc shoes.... Love the style
"
99,"
Shoes fit and feel great even when on feet all day
"
100,"
I had a pair of these when I was a kid and they were probably some of the most comfortable shoes I ever had.  I bought them out of nostalgia and was not disappointed when they arrived and I put them on!  It was like running into an old friend after not seeing each other for years.  Love them so much I ordered a pair and had them delivered to my best friend who used to loot my closet when we were kids.  It wasn't unusual for me to show up at school and spot him coming down the hall totally decked out in clothes that all belonged to me and which I had no idea were even missing from my closet.  His review was very similar to mine.  Highly recommended and will continue purchasing these until I am too old and crippled to rock sneakers any more!
"
101,"
Most comfortable pair of shoes I own. Love these Pumas even more than the last pair.
"
102,"




                    The media could not be loaded.
                


"
103,"
Me gusto por que me queda ala meduda pero un poco incomodo el sopor de la plantilla
"
104,"
This is my first pair of Pumas that I have bought in a very long time, I usually buy Adidas or Nike shoes.  The look of the shoe is clean and classic looking, with the slate blue Puma stripe complimenting the darker blue of the rest of the shoe.  Having said that, the fit of the shoe (especially in the toe box) is really tight starting from the middle of the shoe.  I am hoping that the shoes will expand a little after breaking them in.
"
105,"
I know Puma runs small,  ordered a size up and still a bit narrow,  but they'll probably break in OK.  Took almost two weeks to get here WITH prime and showed up WITHOUT A SHOEBOX. I purchased new sneakers and either the seller or Amazon is passing a returned item off as new.  I'm not a collector but I do like  to keep them in box so I know what to grab.
"
106,"
A little heavy but very durable and comfortable
"
107,"
As soon as I bought them it went from 30 dollars to 60 I got a great bargain
"
108,"
Always wear a 9.5 with Adidas and converse so I ordered these and they look right just way too tight in the front.
"
109,"
6’2, 200 lb Male Athlete.  Cool Shoe,  Goes awesome with white, grey, tan, light blue, and of course black jeans/pants. Super casual and comfy. Go with your normal size. Mine is a 11.5 and I decided to go with 11 and they are a bit snug around the width of the fore foot. Going w/ my regular size would have been better. With casual shoes, I like to keep the laces loose.
"
110,"
Pareciera que no ha pasado la revisión de Control de Calidad y da un tamaño menor que el comprado.
"
111,"
Bien
"
112,"
I love the sneaker but I find the heavy for me.
"
113,"
Fit good
"
114,"
My father loved his shoes for Father's Day
"
115,"
Still have to wear them in but they should be fine.
"
116,"
Thought they felt funny the first week of wearing but allowed them to break in once they got slightly dirty the uneven leather popped out. Obviously can’t return now as I’ve been wearing them. I did think I was buying nice new shoes, not the returns or faulty ones. Amazon is starting to bum me out with the quality of product that shoes up.
"
117,"
I bought these to replace my adidas grand courts I wore out.  Compared to the adidas, these have a much more narrow toe box and feel cramped.
"
118,"
I usually buy these shoes.  I must have purchased 6 pairs over the years.  But this pair got a tare at the top after two months
"
119,"
New insole makes a difference
"
120,"
2nd time I purchased Puma's and am becoming enamored with them.
"
121,"
Fresh AF old school, always in style
"
122,"
They arrived earlier then expected.  They are Softfoam which makes them comfortable,  They were good for the price.
"
123,"
I had a hard time keeping these shoes on. I guess if you drag your feet they won't fall off. They don't bend, and you definitely can't run in them
"
124,"
Very good quality.
"
125,"
The shoes are beatuful but too small
"
126,"
My husband loves these sneakers for Fathers Day
"
127,"
My boyfriend loved theses shoes
"
128,"
Cumplio mis expectativas, , muy comodos...!!!
"
129,"
I like the sneaker. It fits perfectly. But in the future, please send me  size 10/10.5,the  size I ordered. Thank you....
"
130,"
They look normal in smaller sizes, my wife likes her pair, but once you get to mens sizes they look wedge shape and pointed. They are incredibly tight in the toe box and relatively loose at the heel. I loosened the strings as much as they would go and it just isn't enough, my foot goes numb within minutes.
"
131,"
Seller was on point, fast delivery and the right product. The shoes are really nice but unfortunately due to my flat feet they are very tight in the front. I will have to return these and start shopping for wide shoes. My mistake
"
132,"
the unisex ""smash run very small. I bought a half size larger and they still where to tight.i had to return then. There really nice otherwise
"
133,"
If you have a bunion this isn't the shoe for you unless your foot is super narrow.  Couldn't walk very far in them as they hurt the front part of my feet across the top area.  They're adorable though...and if you have a narrow foot your might like them!
"
134,"
Está muy bien era para mi uso personal
"
135,"
When you need to bust out some sick rhymes and some slick moves, you can’t go wrong with a German shoe.Personally, I like them because I can feel the pedals in my car better with skate shoes, so that’s why I buy them. But they offer little arch support.
"
136,"
They are nice and fit well per my husband. Would recommend
"
137,"
The shoe fits very narrow.  I have size 13 feet, but they're not fat.The style and wear are great so far.I'll follow up with whether they get broken into a better fit or wear out more quickly than could be expected.Only worn a few times.  So far I'd recommend them for style not for comfort.
"
138,"
I always order 12, for Puma, seems that 12.5 is needed.
"
139,"
Good buy. Will buy again.
"
140,"
I'm wearing them right now.  They look and feel good.
"
141,"
Cushioned and comfortable. Great price.
"
142,"
These shoes run too narrow for my liking other than that they are ok
"
143,"
This is a great casual shoe. My 15 year old loves them.
"
144,"
I've always liked these Pumas, finally got a pair for myself and they look great.  I usually get a wider style for shoes but they are playable and the foam support is great.
"
145,"
To narrow
"
146,"
This is my first pair of Pumas . These shoes started falling apart after 4 days. I'm wondering if these are counterfeit. If not, these are complete garbage. Would not buy another pair.
"
147,"
They look great but way too tight!
"
148,"
I really like the looks of this shoe, very comfortable, but the quality is rubbish.I bought 2 pairs (different colors), and it's only been 5 months, I only wear each pair 50% of the time, and the insides on BOTH pairs are coming apart. I'm about as ""low impact"" as you can get. I sit in front of a computer screen all day for a job. Can you guys step it up and produce a better quality shoe?
"
149,"
Most puma are wide width, not this pair narrow, and no socks for better fit.
"
150,"
El soft foam de adentro da una sensación de confort pero la suela es un poco dura y es un poco incomodo cuando llevas tiempo parado
"
151,"
I love this sneaker. Fits great even though this style of footwear usually hurts my big toes because usually they are  narrow and my feet are wide. Somehow they look the same as similar sneakers but fit better than any other. Style is great and I also have them in navy / white and I had to get a black / white one without the swoosh being white and this one was perfect. Even the gold Puma logo fits better with black than any other color. Simply awesome shoes, very very comfortable with their memory foam type insole and they look great!
"
152,"
Totally love the shoe..But Too Narrow! Did not see any wider sizes. 1st time buying shoes online, but I am interested in the Puma Cell Surin 2.0 FM
"
153,"
Good shoes
"
154,"
I liked that they fit perfect and are very comfortable!
"
155,"
After having these shoes less than 60 days and not being worn that much (maybe 6 times) there is a rip by the eyelets.  This is my 3rd pair of these shoes and never experienced an issue until now.  Terrible quality!!!
"
156,"
They fit well, but out of all the shoes I have purchased since 2019 these are the most uncomfortable :( Sad because I really like them. They make my feet feel tired and achy After I wear them for about 8hrs like I do all my other shoes.
"
157,"
Runs narrow
"
158,"
Love it!
"
159,"
My son picked these out as a Christmas gift.  The shoes are exceptional.  The material is strong.  This is the second pair, different color of this brand of shoe.  He wears them every day and they last years.  Well worth every dollar!  I Purchased them at Amazon the last first shoe purchase.  Amazon had the best price.
"
160,"
I can defiantly notice the quality is not as good as PUMA's in the very past. The show bends weird in the middle when you walk loosening the fit. You can just tell they are made in China.
"
161,"
I've always liked Puma Suede Classics. The price is great. The quality is great. They're comfortable for me. The sizing is a little off. You might have to go a half size larger or even one full size larger. Either way, you won't be disappointed though.
"
162,"
everything good
"
163,"
....but unfortunately it ran very narrow. Had to return  :-(
"
164,"
Shoe is a bit small but I have wide feet. Wasn’t expecting a narrow shoe but other than that they fit fine.
"
165,"
I am satisfied
"
166,"
Love these shoes
"
167,"
Love the old school look however much more narrow than ones previous . Careful if you have wider feet .
"
168,"
I liked the cushion
"
169,"
Idk why anyone would rate these negatively. I paid $19.99 for some pumas!!!?. Hands down best deal I’ve ever gotten on a pair of shoes! The product is quality and fit as intended. I mean if you’re thinking these are like  sports shoes then you’re mistaken. They are meant for everyday use with like going out, school, or work. If you’re looking for sports shoes then you definitely want to go the nike or adidas route.
"
170,"
Comfortable  sneaker, fits like a glove. Great addition to my Puma collection.
"
171,"
This is the first pair of shoes I felt compelled to return. These shoes are extremely narrow. I wore the shoes for all but 2 minutes and after I took them off, the middle of my foot felt extremely constricted. If you have even slightly wide feet, you should steer clear of this shoe.
"
172,"
I wanted to echo what other have said. The heel area of the internal sole disintegrated after a few weeks of casual wearing. I had to replace them with Dr. Schol's. Who know how long they will last. I will likely have to replace the pair of shoes entirely. Poor design, they don't last.
"
173,"
I love the fit, the look and how fast they arrived!
"
174,"
Like the title says. I don't usually wear socks, so breaking in new shoes can be a pain. These are already breaking in fairly painlessly, and for the money and being able to get it in size 14, I really cannot complain. Just a good all-around walking shoe, albeit one without a mountain of arch support (so if you need a fairly sizeable lump under your arch, look elsewhere).
"
175,"
I bought these shoes for work (restaurant) and they are great, but they run very tight. I bought a 9 originally (I’ve bought 9 for Puma before) but I had to re-order a 9.5 instead. They’re light and flat, which is why I like them since I’m on my feet 8hrs a day, 5 days a week. Definitely a good buy with the right size.
"
176,"
Look great and have a soft insole that is kind of like a Sketcher....that other brand.They look like old school Pumas.
"
177,"
great
"
178,"
Great weight lifting shoe
"
179,"
I purchased this pair just before X-mas, thinking they would be a brand new pair of shoes to gift. What I got was a damaged box, dirty shoes due to the box condition and evidence it had been returned from another customer in November. Very disappointed from a brand like Puma, they didn’t even care to change the shoes’ box.
"
180,"
Just got these and wearing for the first time today . Left one is pinching my little toe so I may need to wear them some and break them in ? Hopefully I won't need to return them. I enjoy them and don't want to return but if they keep up with the pinching I will.
"
181,"
I like the sneakers.
"
182,"
Not a vey comfortable shoe.  Very little in the way of cushion and zero arch support.  Removed the insole and replaced with thicker one, made some difference but wouldn't recommend for anything other than casual (non-athletic) use.  Tends to wear on the warm/hot side.
"
183,"
Took 7 days to get here and was undersized. Replacement was going to take 7 weeks! Getting a refund. Size 11 is not size 11. Order a 12.I liked them so much I bought a pair directly from Puma. Still breaking them in as they make my feat ache after a few hours.
"
184,"
My boyfriend wears an 11 and has two other pairs of Puma's similar in style, and these ran small - had to exchange them for a 12. But super easy exchange and got the new pair in a few days!
"
185,"
The shoe was a fun color...  but lets face it they are not the most comfortable shoe on the market.  That being said, if you want to try something that is a little different looking and add a flair to what you are wearing go for it.
"
186,"
A parte que me llegó la talla cambiada, llego falla en el talón del zapato el logo esta metido dentro del zapato en el uno otro esta por fuera como debe ser
"
187,"
So, apparently shoemakers have juggled their sizing criteria.  In the last six months, I have had to return every pair of shoes or boots that I have ordered online and get one size larger.  Oddly, I have worn the same size shoe since high school, and shoes bought two years ago in that size fit fine.  Seems to me that someone is cutting corners to save a few bucks.  Maybe I should stop buying online and make my lazy self actually go to a real store.
"
188,"
I didn't like that the box was damaged. This was meant to be a gift.
"
189,"
Guess I ordered a men's cause its too big
"
190,"
Excellent product.
"
191,"
Color is darker than in photo .  Blue is fairly dark. Looks almost black at times.  Otherwise looks great.
"
192,"
I love Puma Sneakers not just because they look really cool, and they do look really cool by the way, but because they are really comfortable and also Puma tends to run a tad bit wider than most other big name brands, and since i have slightly wider feet Puma always fits me just right
"
193,"
For a woman purchasing the ese shoes, they are so comfy! I had a bit of an uneasy expectation on the shoes but they are light weight w great comfort at the same time! Wore them for a full day and was walking comfortable !
"
194,"
My husband and my 22 year old son LOVE these sneakers & they look awesome on both of them! LOVE!!
"
195,"
Pumas have always been too narrow in the toe box for me, but I don't care for 'dad sneakers"" so I tried again. These fit well and are cushy. The suede is warmer than canvas and stretches a bit too conform to your foot. They have a foam footbed similar to the Adidas cloudfoam, so good for standing on concrete all day. I can't attest to the durability yet, and I wouldn't wear them in foul weather, but they are stylie and a good bargain.
"
196,"
Size 13: Shoe runs tight and short for it's label size. Maybe they'll loosen after being broken in, I'd order half a size larger next time.Quality craftsmanship and materials.
"
197,"
Bought these for my 15yr old and they fit him perfect. Great shoe , son says they are comfortable too. Also great price.
"
198,"
I have bought pumas almost exclusively for the last 20+ years. I buy about 2 piars, black and blue, and wear them for about a year. The old pairs go to outdoor work shoes and the new ones for work. I bought these in May but really started wearing them in September. Just saw this rip on the side yesterday and I don't remember hitting anything shape that could have ripped it. Honestly this is a first for this happening. Super disappointed hope this isn't a sigh of quality issues and more of the same in the future.
"
199,"
The look and feel amazing
"
200,"
Came really clean, being delivered I was worried they'd have scuffs but the shoe was perfect that way. I've always worn 10.5US so I didn't hesitate to order that size, however with these shoes they are a bit narrow for my feet (I have wider feet). I've never owned a pair of Pumas before so not sure if this is normal for the brand. All around a nice and comfy shoe still and I will be able to wear regularly once broke in a bit.
"
201,"
They are super comfy out of the box, beautiful color.  love, love love...
"
202,"
Great fit, comfortable gets lots of thumbs up.
"
203,"
Everyday use
"
204,"
Nice,  Needed 1/2 size larger.
"
205,"
Super dope shoe, second pair and are very easy to clean. Take care of your shoes and they will take care of you. Idk whats up with these other pictures but I love this shoes and are super affordable. Don't get a white pair if you cant take care lol.
"
206,"
Hello,Little tight across the width of the shoe, other than that it a good shoe for the price. You can’t wear this shoe every day like it a every day shoe. I wear mine once or twice a year.
"
207,"
Perfect
"
208,"
shoes were tight and didnt fit, even though they were ordered to sized, they were too small.
"
209,"
This shoes are my new favorite and they were to tite but they fit like I wanted.
"
210,"
Great fit!
"
211,"
Very comfortable
"
212,"
It's a comfortable shoe. But be warned it is narrow at the toes. The width is fine and they are good for strolling around.
"
213,"
These fit tight. Had to order a size larger than I normally wear just to get my foot in albeit they’re still tight.
"
214,"
Hurts my bone on top by my big toe but if I wear thick socks it doesn't really bother me much but other than that its all good love the style
"
215,"
Very classic sneakers
"
216,"
Love Puma suedes!  Nice color. Great fit - perfect for wearing with shorts, jeans or causal day in the office.
"
217,"
Too narrow too tight and that’s the size I usually wear a 10 and I bought a half size up and it’s still not right so I can’t even wear them just once tried Them on and then took them off
"
218,"
these are great quality for a reasonable price,  they are not the best sneakers in the world but they are affordable and versatile
"
219,"
I usually wear Adidas Cloudfoam shoes, but I'm now switching to Puma for a while because they are incredibly comfortable! I walked over 5 miles at Disney World with these shoes when I first got them and my feet felt as rested and fresh at the end of the day as they did at the beginning.  It was actually noticeable how great my feet felt! I've also gotten complimented by multiple people about how nice they look.
"
220,"
Pumas my 8th pair since high school so there’s not much to say ......as long as there from a reputable source puma/adidas r done of the best shoes I’ve owned.
"
221,"
Like the shoe, fits well.
"
222,"
I can jam like Trey now! A little tight for a wide foot but hoping it should stretch.
"
223,"
These kicks feel great, and so affordable! The styles are so hard to choose from at times, I’ve already ordered and received my second pair. Lacing them up FAT the way I used to back in the day in high school Pumpin that LL Cool J classic “My Radio”!!
"
224,"
Updated review:I've never worn out a set of shoes so quickly.  The first few months they were pretty good / comfortable, but quickly the foam / sole sort of just thinned out.  After about 5 months I wore completely through the sole, and cracks developed that would allow water to go through the sole.  Plus they became very uncomfortable.  I really treated these shoes with kid gloves.  Typically I ruin shoes due to hiking in them, biking, and running.  I only walked around in these as I have other specific shoes for those activities (not always the case in my younger years).Also, even when brand new these shoes could not keep water out.  The upper portion of the shoe will wick water quickly.  Even on just wet streets (not puddles) your feet get soaked.  I have since bought a pair of vans that look very similar  in appearance but are night and day build quality / comfort / durability.Original Review:Fit true to size, very comfy. looks great.  Likem.
"
225,"
I love this sneaker so much but ordered it too big by mistake. Requested a refund and will definitely buy again in my correct size.
"
226,"
I bought these for my husband. He loves them. Great shoe and looks good with shorts and jeans.
"
